id,name,symbol,slug,cmcRank,marketPairCount,circulatingSupply,selfReportedCirculatingSupply,totalSupply,ath,atl,high24h,low24h,isActive,lastUpdated,dateAdded,scrape_date
1,Bitcoin,BTC,bitcoin,1,9332,19012450.0,0.0,19012450.0,68789.62593892214,65.5260009765625,40617.72080256418,39695.744431167535,1,2022-04-15T15:59:00.000Z,2013-04-28T00:00:00.000Z,2022-04-16
1027,Ethereum,ETH,ethereum,2,5645,120389066.249,0.0,120389066.249,4891.704697551414,0.4208970069885254,3044.2874413340046,2988.4353080961214,1,2022-04-15T15:59:00.000Z,2015-08-07T00:00:00.000Z,2022-04-16
825,Tether,USDT,tether,3,31804,82694361442.77385,0.0,85613951816.13536,1.2154899835586548,0.5683140158653259,1.0004397749293827,1.0000543430242947,1,2022-04-15T15:59:00.000Z,2015-02-25T00:00:00.000Z,2022-04-16
1839,BNB,BNB,bnb,4,795,165116760.89,0.0,165116760.89,690.93196468,0.09610939770936966,418.835960396591,412.0471269134276,1,2022-04-15T15:59:00.000Z,2017-07-25T00:00:00.000Z,2022-04-16
3408,USD Coin,USDC,usd-coin,5,3720,50171303897.18389,0.0,50171303897.18389,2.349556378332484,0.929221745866,1.0005617818627592,0.9992817726478341,1,2022-04-15T15:59:00.000Z,2018-10-08T00:00:00.000Z,2022-04-16
52,XRP,XRP,xrp,6,712,48135209660.0,0.0,99989613982.0,3.841939926147461,0.002802350092679262,0.7936798170893921,0.7105864529786268,1,2022-04-15T15:59:00.000Z,2013-08-04T00:00:00.000Z,2022-04-16
5426,Solana,SOL,solana,7,294,332553970.2163231,0.0,511616946.142289,260.0621175973552,0.505193636791,102.67264250662951,99.25684632062898,1,2022-04-15T15:59:00.000Z,2020-04-10T00:00:00.000Z,2022-04-16
2010,Cardano,ADA,cardano,8,424,33752565071.288,0.0,34277702081.605,3.09918625,0.017354099079966545,0.9564723289120466,0.9254710925669271,1,2022-04-15T15:59:00.000Z,2017-10-01T00:00:00.000Z,2022-04-16
4172,Terra,LUNA,terra-luna,9,213,360005842.9506481,0.0,743378573.183487,119.18462385854534,0.120115928024,82.68078609044218,79.85771009115146,1,2022-04-15T15:59:00.000Z,2019-07-26T00:00:00.000Z,2022-04-16
5805,Avalanche,AVAX,avalanche,10,231,268283197.16888332,0.0,395891289.9134107,146.21786401299232,2.7888219,78.46714519276726,75.05558661242992,1,2022-04-15T15:59:00.000Z,2020-07-13T00:00:00.000Z,2022-04-16
74,Dogecoin,DOGE,dogecoin,11,464,132670764299.89409,0.0,132670764299.89409,0.7375666,8.5474399384111e-05,0.14928681921612105,0.13952608147667794,1,2022-04-15T15:59:00.000Z,2013-12-15T00:00:00.000Z,2022-04-16
6636,Polkadot,DOT,polkadot-new,12,330,987579314.957085,904869778.0,1103303471.382273,55.00497580824179,2.6928957061,18.346189836238366,17.529968607548604,1,2022-04-15T15:59:00.000Z,2020-08-19T00:00:00.000Z,2022-04-16
4687,Binance USD,BUSD,binance-usd,13,3495,17457287422.919254,0.0,17457287422.919254,1.10651177623,0.886123687014,1.0018579615159404,0.9981354638667873,1,2022-04-15T15:59:00.000Z,2019-09-20T00:00:00.000Z,2022-04-16
